state,year,pop,pct_male,pct_white,pct_black,pct_hispanic,pct_other,avg_age,avg_age_adult,pct_00_17,pct_18_34,pct_35_64,pct_65_00
Iowa,1998,2732872,0.4901978577847773,0.9385309666899877,0.02260186353404038,0.023312105360221776,0.01555506441575017,38.054815593265985,47.66857924035062,0.2489568483265956,0.22006145915359374,0.37064267920341676,0.16033901331639389
Kansas,1998,2250598,0.4895547761083943,0.8267122782478257,0.06992363807308102,0.0720915063463133,0.03127257733278,37.542189897973785,47.3574043301763,0.2557949487202957,0.22499948902469477,0.3603424512063016,0.15886311104870796
Kentucky,1998,3625390,0.491712615746168,0.8969371571058562,0.08149026725400578,0.012011397394487214,0.009561178245650812,36.362675463881125,45.749675703102795,0.2556791958934073,0.24330987838549784,0.3711906856917463,0.12982024002934855
Louisiana,1998,4120344,0.4846546793180375,0.6507325601940033,0.30525072663835834,0.024984321697411674,0.019032391470226756,35.33642093961087,45.6002724141614,0.2814939238083034,0.2346413794576375,0.3596134206270156,0.12425127610704349
Maine,1998,1209127,0.48966072215739126,0.9737000331644236,0.005807495821365332,0.007066255240351096,0.013426215773859983,37.85068896815636,47.39663132070232,0.2506704423935617,0.22169598396198248,0.3787137331314246,0.1489198405130313
Maryland,1998,3694464,0.4881287244915636,0.6416798214842532,0.24329293775768285,0.054771409330284446,0.06025583142777951,36.853061093571355,46.63564888336899,0.2576562662405156,0.2293745994006167,0.372083744759727,0.14088538959914076
Massachusetts,1998,3001838,0.482517377686604,0.672081904486518,0.114582798938517,0.1324848309602317,0.08085046561473337,38.714978956226155,49.039521976051056,0.2535184776793418,0.2242654666907408,0.33276412651182374,0.18945192911809364
Michigan,1998,6407942,0.49624091478980303,0.80237960955327,0.11608391586565546,0.045461865915765155,0.03607460866530939,36.90046351855245,47.133694381562925,0.26588396087230504,0.22140150457042215,0.36720244971006294,0.14551208484720993
Minnesota,1998,3643412,0.49332823188813124,0.8705770854353008,0.045180451730410943,0.031880830386461924,0.05236163244782638,36.486567398910694,46.8035622340154,0.2709924653045003,0.22501375084673378,0.3612619160281626,0.14273186782060332
Mississippi,1998,2804834,0.48156539745311133,0.615220009455105,0.36510538591588665,0.00982803260371202,0.009846572025296327,35.14507008257886,45.10805300241217,0.27673716162881656,0.24612586698535455,0.3552609530546193,0.12187601833120962
Missouri,1998,4561765,0.48646631292931575,0.8209942862028184,0.13787207363816417,0.02186390574700801,0.019269734412009385,37.053783458814735,46.98671866624337,0.26103124558147994,0.22618477716410207,0.36497298742920775,0.1478109898252102
Montana,1998,892431,0.4975555533144859,0.9118396828438277,0.0031924036704238197,0.017887097153729534,0.06708081633201894,37.00446869281771,46.627390719878534,0.258466817042438,0.2117488074708297,0.3965561483184694,0.13322822716826288
Nebraska,1998,1475816,0.4904595152783274,0.8776148246122822,0.04664809163201917,0.05259192202822032,0.02314516172747822,37.3358467451227,47.87306898296521,0.2699027521045984,0.2087666755205256,0.36370658672896894,0.15762398564590707
Nevada,1998,1053191,0.49658419033204804,0.5754027522073394,0.12249534984632417,0.19738774828117597,0.10471414966516045,36.07821373331143,47.04586374425219,0.28298247896155587,0.22873097092550163,0.3477887676594274,0.14049778245351507
New Hampshire,1998,915940,0.4826615280476887,0.9522195777015962,0.009249514160316177,0.019424853156320282,0.019106054981767366,38.1691158809529,47.79808716992012,0.24494770399807847,0.2160202633360264,0.3801646396052143,0.15886739306068082
New Jersey,1998,5817418,0.48616929366258366,0.5829651573945692,0.15960328104323945,0.17701891113892795,0.08041265042326338,37.492019655455394,47.49269818317192,0.25640313279877774,0.230777778045174,0.3568780857761983,0.15594100337984995
New Mexico,1998,1703484,0.48883406007922586,0.441979496138502,0.020062413265988996,0.43373932481901795,0.104218765776491,34.41353279514219,45.25407003723594,0.2994259998919861,0.23793742706124624,0.34283034064305856,0.1198062324037091
New York,1998,10985906,0.493062019645899,0.5990928740879451,0.15297773347050303,0.16884561000248866,0.07908378243906329,37.19836488679222,47.48001033292623,0.2642130562558973,0.2266737217667801,0.35602334482017234,0.15308987715715025
North Carolina,1998,7249121,0.4855581800883169,0.6979210307015153,0.23633513635653206,0.03797067258223445,0.027773160359718097,36.76775604931964,45.732950093136374,0.24302027790679723,0.25114763569265847,0.37420426559302844,0.13162782080751584
North Dakota,1998,647532,0.49922011576261865,0.9318427506285404,0.005503975093122811,0.00980646516311163,0.05284680911522519,36.87294218664097,46.356350491298876,0.25656585311613944,0.23498823224180426,0.36282531210812746,0.14562060253392883
Ohio,1998,8161536,0.4881369144239516,0.8223124911781312,0.13438989915623725,0.023990092061102225,0.019307517604529343,37.80241366331044,47.85770726871246,0.25720239425519903,0.21281060329820267,0.3711079630108842,0.15887903943571405
Oklahoma,1998,2905194,0.49562163490630917,0.7385241742892213,0.0918048846307682,0.05309352834956977,0.11657741273044073,37.06271422837855,46.838089899324935,0.259226130853912,0.22874541252666777,0.3630545843065902,0.14897387231283005
Oregon,1998,2582449,0.4953398886096105,0.8242861717695102,0.02339058777153005,0.09207887551699956,0.06024436494196013,38.3156918103707,48.29785572613911,0.25100197525682016,0.22356383417445996,0.35674044288967566,0.1686937476790442
Pennsylvania,1998,8075672,0.4855470851218326,0.8350516217102428,0.09251007222680664,0.04398866125320593,0.028449644809744625,39.69867739799239,49.30129794084934,0.23665760570761168,0.21271193282738576,0.3590170576516728,0.19161340381332972
Rhode Island,1998,751155,0.4991313377398806,0.7937948892039592,0.06216692959509023,0.10545892658639029,0.03857925461456024,38.292030273379,47.074056756577164,0.2306802191292077,0.2372445101210802,0.3675433166257297,0.1645319541239824
South Carolina,1998,3819235,0.4838762212851527,0.6617628923069673,0.3071756516684624,0.018742758693822192,0.012318697330748174,35.8865905083086,45.54739792934413,0.2646277592240331,0.24066086533036066,0.3705836378227577,0.12412773762284855
South Dakota,1998,746058,0.4948797546571446,0.8980910331368339,0.005931174251867817,0.010208321605022665,0.08576947100627565,36.35865442096995,46.56518399671657,0.2736840835431026,0.2251055547960078,0.357186706663557,0.14402365499733263
Tennessee,1998,4750045,0.48048765853797176,0.8214139023946089,0.1450116788367268,0.019317711726941533,0.014256707041722763,37.597570128282996,46.96499872439736,0.24527616054163698,0.22938481635437136,0.37935135351349303,0.1459876695904986
Texas,1998,12897531,0.49753755195471133,0.5527100496986593,0.12651305121887282,0.27344946873940446,0.04732743034306334,35.93459399322242,46.19167683312077,0.27265026151129235,0.23405168012389346,0.35809939127108903,0.13519866709372516
Utah,1998,1445960,0.4932321779302332,0.8104912998976459,0.01202107942128413,0.12186436692577941,0.055623253755290605,34.217760173172145,44.76798157202709,0.28851157708373676,0.2552026335444964,0.32839013527345157,0.1278956540983153
Vermont,1998,600416,0.489645512444705,0.9739763763790439,0.0054728721419815595,0.007887864414006289,0.012662887064968289,37.01269203352342,46.09631201223473,0.2472565687789799,0.22104540851676174,0.4056537467355967,0.12604427596866172
Virginia,1998,6290918,0.4879484997261131,0.6943337999319018,0.21786168568720812,0.044809358506977835,0.0429951558739122,36.36191808572294,45.36614576282927,0.24634900661556866,0.2455718863288315,0.38471316904782416,0.12336593800777565
Washington,1998,3639562,0.49456198300784543,0.7167697651530597,0.05612131349871221,0.10874000772620442,0.11836891362202374,36.45151325901303,47.08497026000652,0.2763617710043132,0.22540767268149298,0.3490983255677469,0.14913223074644696
