state,year,inc_per_cap_act
Colorado,1993,55090.11939506935
Colorado,1994,55989.909638956255
Colorado,1995,56726.08019969232
Colorado,1996,58511.804559364275
Colorado,1997,59053.56314560584
Colorado,1998,62944.833643300095
Colorado,1999,65681.74459183472
Colorado,2000,53456.02032920713
Colorado,2001,52724.06335579329
Colorado,2002,51411.168105732206
Colorado,2003,50436.825132403435
Colorado,2004,50709.631888766664
Colorado,2005,51971.758507121674
Colorado,2006,52963.992444819705
Colorado,2007,54264.03743775169
Colorado,2008,52784.93667071897
Colorado,2009,49432.238929395666
Colorado,2010,49539.29683942847
Colorado,2011,52165.831538362676
Colorado,2012,53075.1747411733
Colorado,2013,54072.824705511106
Colorado,2014,57069.8197154421
Colorado,2015,58942.71016362963
Colorado,2016,58467.74477762945
Colorado,2017,60436.970651376556
Colorado,2018,62702.11046281116
Colorado,2019,64149.013973447225
Connecticut,1980,42051.60888839041
Connecticut,1981,41968.526820664236
Connecticut,1982,41732.22712617492
Connecticut,1983,42728.8928322461
Connecticut,1984,45573.431510738985
Connecticut,1985,46954.74614142164
Connecticut,1986,48246.666838426514
Connecticut,1987,51563.15767636243
Connecticut,1988,54185.50381596885
Connecticut,1989,56058.73032400541
Connecticut,1990,93889.2105656014
Connecticut,1991,87058.60925144707
Connecticut,1992,91124.15198899078
Connecticut,1993,91668.2871499813
Connecticut,1994,91689.33763453786
Connecticut,1995,94631.43990418698
Connecticut,1996,95414.96538975846
Connecticut,1997,99025.70542298381
Connecticut,1998,104302.55433975781
Connecticut,1999,107172.81094573087
Connecticut,2000,67414.68781978016
Connecticut,2001,68280.78231365264
Connecticut,2002,67128.83180811351
Connecticut,2003,65939.01869884274
Connecticut,2004,68011.23256440171
Connecticut,2005,69736.26902021213
Connecticut,2006,72336.74932469419
Connecticut,2007,76145.35641785062
Connecticut,2008,77263.20985938833
Connecticut,2009,75858.16376631222
Connecticut,2010,75594.55905225415
Connecticut,2011,76376.84893601858
Connecticut,2012,75442.08710435263
Connecticut,2013,72639.60265124748
Connecticut,2014,74828.17325800119
Connecticut,2015,77118.52898741832
Connecticut,2016,77903.63708237286
Connecticut,2017,77975.07076484789
Connecticut,2018,79692.03053806834
Connecticut,2019,81070.58084878932
Delaware,1980,36730.18716751954
Delaware,1981,36146.417015757754
Delaware,1982,35741.19604925137
Delaware,1983,36328.54243980591
Delaware,1984,38052.88690770912
Delaware,1985,39439.04011568791
Delaware,1986,39763.412769689414
Delaware,1987,41773.929735442674
Delaware,1988,43203.12003375469
Delaware,1989,45242.13047812608
Delaware,1990,59727.23955612226
Delaware,1991,59379.83633401765
Delaware,1992,58950.67519503064
Delaware,1993,58008.163252277955
Delaware,1994,57796.21232397482
Delaware,1995,59236.82273993784
Delaware,1996,60372.833968567975
Delaware,1997,61274.79837567663
Delaware,1998,65290.750552239224
Delaware,1999,67582.28216381537
Delaware,2000,53030.046192425514
Delaware,2001,55796.33171908677
Delaware,2002,56308.92480361399
Delaware,2003,55332.8920208635
Delaware,2004,55668.64757567918
Delaware,2005,54798.07456859038
Delaware,2006,54927.39657286427
Delaware,2007,54689.52665192188
Delaware,2008,51265.64151180503
Delaware,2009,51217.895827099856
Delaware,2010,49704.409623210544
Delaware,2011,52543.63246901603
Delaware,2012,51225.429335056746
Delaware,2013,50675.20676754015
Delaware,2014,51761.04327066234
Delaware,2015,54163.20822443334
Delaware,2016,54413.680406995794
Delaware,2017,55212.402795477334
Delaware,2018,56350.64401308944
Delaware,2019,57150.74192044365
District of Columbia,1981,43359.297868167465
District of Columbia,1982,42878.04127545412
District of Columbia,1983,43590.51180611406
District of Columbia,1984,45557.875078354984
District of Columbia,1985,46512.327027494684
District of Columbia,1986,46805.05851772093
District of Columbia,1987,48807.83653867863
District of Columbia,1988,51813.86173784232
District of Columbia,1989,53037.77320572148
District of Columbia,1990,95132.5230261744
District of Columbia,1991,90082.19130286253
District of Columbia,1992,85806.99858113506
District of Columbia,1993,84748.06941826771
District of Columbia,1994,83799.08407666296
District of Columbia,1995,83894.64139100992
District of Columbia,1996,89115.20043548946
District of Columbia,1997,94221.00890706462
District of Columbia,1998,101953.25864837648
District of Columbia,1999,103563.50460687894
District of Columbia,2000,67827.17341131506
District of Columbia,2001,66984.5907744985
District of Columbia,2002,66511.23411809576
District of Columbia,2003,65701.9422027946
District of Columbia,2004,69869.8121690122
District of Columbia,2005,71620.76247348782
District of Columbia,2006,72806.07552648957
District of Columbia,2007,76532.52133325263
District of Columbia,2008,75002.22445843581
District of Columbia,2009,74588.7751604668
District of Columbia,2010,77411.52376670919
District of Columbia,2011,80710.30489977298
District of Columbia,2012,79489.55227763737
District of Columbia,2013,77630.93898915526
District of Columbia,2014,80301.66811768379
District of Columbia,2015,85114.79651549178
District of Columbia,2016,86716.5998180394
District of Columbia,2017,86106.09526713866
District of Columbia,2018,86492.79598138209
District of Columbia,2019,87487.44596207321
Florida,1980,34771.073074050466
Florida,1981,44525.71056650655
Florida,1982,43459.12167340389
Florida,1983,44731.69921238506
Florida,1984,47854.26796650927
Florida,1985,49896.496832041266
Florida,1986,50049.32128117905
Florida,1987,52093.43914416212
Florida,1988,53129.308721688416
Florida,1989,55822.72014373527
Florida,1990,66013.33944376526
Florida,1991,63641.05606469981
Florida,1992,64329.54057232024
Florida,1993,64630.29334562236
Florida,1994,65341.62221607033
Florida,1995,66423.27129687535
Florida,1996,67606.48335718099
Florida,1997,68720.84124985794
Florida,1998,71130.07227996468
Florida,1999,72003.16854668356
Florida,2000,46027.13635586382
Florida,2001,45765.509351007204
Florida,2002,45811.399801075255
Florida,2003,46037.251984619405
Florida,2004,48000.01167854478
Florida,2005,49930.101259506904
Florida,2006,51303.618757676886
Florida,2007,51799.62709554911
Florida,2008,49255.013427843056
Florida,2009,46025.39931362184
Florida,2010,46843.03554119241
Florida,2011,48043.157086680505
Florida,2012,47782.88937278443
Florida,2013,46512.49039702672
Florida,2014,48550.25513302443
Florida,2015,51067.88025016009
Florida,2016,51334.39302208068
Florida,2017,52719.47540827841
Florida,2018,54257.56394739147
Florida,2019,54990.83536162417
Georgia,1980,29325.695782763625
Georgia,1981,31409.42453463251
Georgia,1982,30918.838957733777
Georgia,1983,32172.640852935237
Georgia,1984,34291.54249500431
Georgia,1985,36084.49576792542
Georgia,1986,37036.819980296714
Georgia,1987,38488.66877431765
Georgia,1988,40252.245472203875
Georgia,1989,40836.95512725727
Georgia,1990,43209.4158565149
Georgia,1991,42313.401605924526
Georgia,1992,43588.38814827123
Georgia,1993,43770.94487210789
Georgia,1994,44660.33075945875
Georgia,1995,46030.15438647975
Georgia,1996,47012.11863320535
Georgia,1997,46955.12913857838
Georgia,1998,49638.128722074405
Georgia,1999,50795.94054370008
Georgia,2000,45123.62333783206
Georgia,2001,44635.00213901066
Georgia,2002,44464.3398291209
Georgia,2003,44093.78986830389
Georgia,2004,44689.0392431451
Georgia,2005,45194.692943688846
Georgia,2006,45224.37912807991
Georgia,2007,45344.85514715479
Georgia,2008,43024.979267030336
Georgia,2009,41631.50797128971
Georgia,2010,42030.1013849869
Georgia,2011,43787.38971036868
Georgia,2012,43295.81239084959
Georgia,2013,42919.629874289756
Georgia,2014,44792.96138977076
Georgia,2015,47154.46924919096
Georgia,2016,47794.45624685161
Georgia,2017,48795.53080572762
Georgia,2018,49991.77583170569
Georgia,2019,50595.792685788874
Idaho,1980,30191.634711986502
Idaho,1981,29152.867980592266
Idaho,1982,27941.806200089442
Idaho,1983,29198.70412595273
Idaho,1984,29562.275604429007
Idaho,1985,30072.286229783644
Idaho,1986,29629.33517755658
Idaho,1987,30705.754603530047
Idaho,1988,31879.725750577974
Idaho,1989,33277.93132792048
Idaho,1990,33545.16161193117
Idaho,1991,32453.05669250609
Idaho,1992,33774.61472634958
Idaho,1993,35616.95242370267
Idaho,1994,36655.68555759516
Idaho,1995,37544.526279081605
Idaho,1996,37936.64324132627
Idaho,1997,37559.24908951413
Idaho,1998,40181.332908181554
Idaho,1999,42216.53543778892
Idaho,2000,39464.97832899342
Idaho,2001,38877.346654005494
Idaho,2002,39058.87500785729
Idaho,2003,38698.100898670295
Idaho,2004,40079.603304778866
