date,state,unemployment
1976-05-01,New Hampshire,6.5
1976-05-01,New Jersey,10.3
1976-05-01,New Mexico,8.6
1976-05-01,New York,10.1
1976-05-01,North Carolina,6.1
1976-05-01,North Dakota,3.6
1976-05-01,Ohio,7.8
1976-05-01,Oklahoma,5.7
1976-05-01,Oregon,9.1
1976-05-01,Pennsylvania,8.1
1976-05-01,Rhode Island,7.7
1976-05-01,South Carolina,7
1976-05-01,South Dakota,3.1
1976-05-01,Tennessee,5.9
1976-05-01,Texas,5.9
1976-05-01,Utah,5.7
1976-05-01,Vermont,8.5
1976-05-01,Virginia,5.9
1976-05-01,Washington,8.5
1976-05-01,West Virginia,7.4
1976-05-01,Wisconsin,5.5
1976-05-01,Wyoming,3.9
1976-06-01,Alabama,6.5
1976-06-01,Alaska,7.1
1976-06-01,Arizona,9.7
1976-06-01,Arkansas,6.9
1976-06-01,California,9
1976-06-01,Colorado,5.6
1976-06-01,Connecticut,9.3
1976-06-01,District of Columbia,8.3
1976-06-01,Delaware,8.6
1976-06-01,Florida,9.2
1976-06-01,Georgia,8
1976-06-01,Hawaii,9.2
1976-06-01,Idaho,5.6
1976-06-01,Illinois,6.6
1976-06-01,Indiana,5.8
1976-06-01,Iowa,4
1976-06-01,Kansas,4.1
1976-06-01,Kentucky,5.5
1976-06-01,Louisiana,6.7
1976-06-01,Maine,8.4
1976-06-01,Maryland,6.5
1976-06-01,Massachusetts,9.8
1976-06-01,Michigan,9.4
1976-06-01,Minnesota,5.6
1976-06-01,Mississippi,6.2
1976-06-01,Missouri,6.1
1976-06-01,Montana,5.8
1976-06-01,Nebraska,3.1
1976-06-01,Nevada,8.7
1976-06-01,New Hampshire,6.5
1976-06-01,New Jersey,10.3
1976-06-01,New Mexico,8.6
1976-06-01,New York,10.2
1976-06-01,North Carolina,6
1976-06-01,North Dakota,3.7
1976-06-01,Ohio,7.6
1976-06-01,Oklahoma,5.6
1976-06-01,Oregon,9
1976-06-01,Pennsylvania,8
1976-06-01,Rhode Island,7.7
1976-06-01,South Carolina,6.9
1976-06-01,South Dakota,3.1
1976-06-01,Tennessee,5.9
1976-06-01,Texas,5.9
1976-06-01,Utah,5.6
1976-06-01,Vermont,8.4
1976-06-01,Virginia,5.8
1976-06-01,Washington,8.6
1976-06-01,West Virginia,7.4
1976-06-01,Wisconsin,5.4
1976-06-01,Wyoming,3.8
1976-07-01,Alabama,6.6
1976-07-01,Alaska,7.3
1976-07-01,Arizona,9.7
1976-07-01,Arkansas,6.8
1976-07-01,California,9
1976-07-01,Colorado,5.8
1976-07-01,Connecticut,9.1
1976-07-01,District of Columbia,8.4
1976-07-01,Delaware,8.8
1976-07-01,Florida,9.1
1976-07-01,Georgia,8
1976-07-01,Hawaii,9
1976-07-01,Idaho,5.6
1976-07-01,Illinois,6.6
1976-07-01,Indiana,5.7
1976-07-01,Iowa,4
1976-07-01,Kansas,4.1
1976-07-01,Kentucky,5.4
1976-07-01,Louisiana,6.8
1976-07-01,Maine,8.4
1976-07-01,Maryland,6.6
1976-07-01,Massachusetts,9.6
1976-07-01,Michigan,9.2
1976-07-01,Minnesota,5.6
1976-07-01,Mississippi,6.2
1976-07-01,Missouri,6.2
1976-07-01,Montana,5.9
1976-07-01,Nebraska,3
1976-07-01,Nevada,8.6
1976-07-01,New Hampshire,6.4
1976-07-01,New Jersey,10.4
1976-07-01,New Mexico,8.6
1976-07-01,New York,10.2
1976-07-01,North Carolina,5.9
1976-07-01,North Dakota,3.8
1976-07-01,Ohio,7.5
1976-07-01,Oklahoma,5.6
1976-07-01,Oregon,9.1
1976-07-01,Pennsylvania,7.9
1976-07-01,Rhode Island,7.8
1976-07-01,South Carolina,6.8
1976-07-01,South Dakota,3.2
1976-07-01,Tennessee,6
1976-07-01,Texas,5.9
1976-07-01,Utah,5.5
1976-07-01,Vermont,8.3
1976-07-01,Virginia,5.8
1976-07-01,Washington,8.7
1976-07-01,West Virginia,7.2
1976-07-01,Wisconsin,5.3
1976-07-01,Wyoming,3.7
1976-08-01,Alabama,6.7
1976-08-01,Alaska,7.6
1976-08-01,Arizona,9.6
1976-08-01,Arkansas,6.7
1976-08-01,California,9.1
1976-08-01,Colorado,5.9
1976-08-01,Connecticut,9
1976-08-01,District of Columbia,8.5
1976-08-01,Delaware,8.9
1976-08-01,Florida,9.1
1976-08-01,Georgia,8
1976-08-01,Hawaii,8.9
1976-08-01,Idaho,5.6
1976-08-01,Illinois,6.6
